reason, 2019
Restructuring, 137968
Closing, 130748
No_Reason_Provided, 71122
Bankruptcy, 62136
Cost-Cutting, 55325
Contract_Loss, 24632
Voluntary_Severance/Buyouts, 18144
Demand_Downturn, 18082
Acquisition/Merger, 15681
Trade_Difficulties, 11688
Relocation_(Domestic), 8178
Market_Conditions, 6630
Tariffs, 5881
Government_Regulation, 5354
Financial_Losses, 3138
Labor_Dispute, 2576
Fires, 2455
Coal_Downturn, 1852
Relocation_(International), 1760
Natural_Gas_Downturn, 1415
Technological_Update, 1289
Outsourcing_Operations_to_Another_U.S._Company, 1101
Consolidation, 797
Legal_Trouble, 622
Hurricane_Michael, 600
ICE_Inquiry, 540
Steel_Downturn, 500
Reduced_Medicaid/Medicare_Payouts, 434
Competition, 420
Fired, 303
Listeria, 200
Low_Interest_Rates, 200
Hurricane_Florence, 115
Reorganization, 113
Environmental_Regulations, 100
Lack_of_Cannabis_Regulation, 100
New_Focus, 89
Climate_Legislation, 60
Contract_Dispute, 50
Privatization, 40
Price_Downturn, 40
Flood, 25
Vaping_Legislation, 24
Dispute_with_Government_over_FSA, 23
Hurricane_Matthew, 6
