INDUSTRY, DECEMBER, 2013
Retail, 0, 588337
Transportation, 0, 76397
Computer, 10200, 26026
Automotive, 0, 15597
Health_Care/Products, 716, 8830
Industrial_Goods, 0, 7389
Aerospace/Defense, 0, 4781
Financial, 91, 4502
Food, 131, 4328
Education, 0, 4322
Government, 0, 4217
Telecommunications, 0, 3770
Entertainment/Leisure, 0, 3285
Consumer_Products, 0, 2331
Insurance, 0, 2322
Energy, 170, 1878
Construction, 0, 1775
Electronics, 0, 1461
Services, 0, 1270
Pharmaceutical, 0, 1120
Apparel, 0, 550
Chemical, 50, 410
Media, 4, 187
Utility, 0, 100
Non-Profit, 0, 11
Legal, 0, 10
Commodities, 0, 0
Real_Estate, 0, 0
TOTAL, 11362, 765206
